section,label,n,p25_usd,median_usd,p75_usd,average_usd,median_years
overall,All rate-reporting profiles,93,5,5,7,6.61,3
category,Administrative Support,27,5,5,6,6.06,4
category,Customer Service,17,5,5,6,6.00,5
category,Marketing & Social Media,12,5,5.50,7.25,7.67,4
category,Ecommerce,7,5,7,7.50,7.00,4
category,Lead Generation & Sales,7,6,6,7,7.86,3
category,Web & WordPress,5,5,5,5,5.00,1
experience,0-1 years,12,5,5,6.25,,
experience,2-3 years,39,5,5,7,,
experience,4-5 years,17,5,5,7,,
experience,6+ years,25,5,6,8,,
tool,Canva,43,,,,,
tool,Google Workspace,38,,,,,
tool,Slack,20,,,,,
tool,Zoom,14,,,,,
tool,Microsoft Office,12,,,,,
tool,CapCut,11,,,,,
tool,ChatGPT,10,,,,,
tool,Microsoft Teams,8,,,,,
tool,HubSpot,7,,,,,
tool,Salesforce,7,,,,,
tool,Zendesk,7,,,,,
skill,Customer Support,21,,,,,
skill,Calendar Management,19,,,,,
skill,Data Entry,18,,,,,
skill,Email Management,15,,,,,
skill,Administrative Support,11,,,,,
skill,Social Media Management,11,,,,,
skill,Customer Service,9,,,,,
skill,Lead Generation,7,,,,,
skill,Attention to Detail,6,,,,,
skill,Graphic Design,5,,,,,
skill,Quality Assurance,5,,,,,
